ServerName,WaitType,Wait_Sec,Resource_Sec,Signal_sec,Wait_Count,Wait_Percentage,AvgWait_Sec,AvgRes_Sec,AvgSig_Sec
PA01WJSHURAK03\SQL14,QDS_SHUTDOWN_QUEUE,1226089.23,1226088.80,0.43,6758,94.50,181.4278,181.4278,0.0001
PA01WJSHURAK03\SQL14,WRITELOG,65539.99,65399.05,140.94,308809,5.05,0.2122,0.2118,0.0005
